unix_timestamp,x,y,z
1478799176.000000,22,12,58
1478799176.031250,21,12,57
1478799176.062500,21,12,58
1478799176.093750,22,12,57
1478799176.125000,22,12,57
1478799176.156250,22,12,57
1478799176.187500,22,12,57
1478799176.218750,21,12,57
1478799176.250000,21,12,58
1478799176.281250,22,12,57
1478799176.312500,21,12,57
1478799176.343750,21,12,57
1478799176.375000,22,12,57
1478799176.406250,22,12,57
1478799176.437500,21,12,57
1478799176.468750,21,12,57
1478799176.500000,21,12,57
1478799176.531250,22,12,58
1478799176.562500,21,12,57
1478799176.593750,22,12,57
1478799176.625000,22,12,57
1478799176.656250,21,12,57
1478799176.687500,22,12,57
1478799176.718750,21,12,57
1478799176.750000,21,12,57
1478799176.781250,21,12,57
1478799176.812500,22,12,57
1478799176.843750,22,12,57
1478799176.875000,22,12,57
1478799176.906250,22,12,57
1478799176.937500,21,12,57
1478799176.968750,21,12,57
1478799177.000000,21,12,57
1478799177.031250,21,12,57
1478799177.062500,22,12,57
1478799177.093750,22,12,57
1478799177.125000,22,12,57
1478799177.156250,22,12,57
1478799177.187500,21,12,57
1478799177.218750,21,12,58
1478799177.250000,21,12,57
1478799177.281250,22,12,58
1478799177.312500,22,12,57
1478799177.343750,22,12,58
1478799177.375000,21,12,57
1478799177.406250,22,12,58
1478799177.437500,21,12,57
1478799177.468750,22,12,58
1478799177.500000,22,12,57
1478799177.531250,22,12,57
1478799177.562500,22,12,57
1478799177.593750,21,12,57
1478799177.625000,22,12,57
1478799177.656250,22,12,57
1478799177.687500,22,12,57
1478799177.718750,22,12,58
1478799177.750000,21,12,57
1478799177.781250,22,12,57
1478799177.812500,21,12,57
1478799177.843750,21,12,58
1478799177.875000,21,12,57
1478799177.906250,22,12,57
1478799177.937500,21,13,57
1478799177.968750,22,12,57
1478799178.000000,22,12,58
1478799178.031250,22,12,58
1478799178.062500,22,12,58
1478799178.093750,21,12,58
1478799178.125000,21,12,58
1478799178.156250,22,12,57
1478799178.187500,22,12,57
1478799178.218750,22,12,58
1478799178.250000,22,12,57
1478799178.281250,21,12,57
1478799178.312500,22,12,57
1478799178.343750,22,12,57
1478799178.375000,22,12,57
1478799178.406250,22,12,58
1478799178.437500,21,12,57
1478799178.468750,22,12,57
1478799178.500000,22,12,57
1478799178.531250,22,13,57
1478799178.562500,22,13,57
1478799178.593750,22,12,57
1478799178.625000,22,11,57
1478799178.656250,22,11,58
1478799178.687500,22,12,57
1478799178.718750,22,12,57
1478799178.750000,22,13,57
1478799178.781250,22,13,57
1478799178.812500,22,11,57
1478799178.843750,23,11,58
1478799178.875000,22,12,58
1478799178.906250,22,12,57
1478799178.937500,22,13,57
1478799178.968750,22,12,57
1478799179.000000,22,12,57
1478799179.031250,23,11,57
1478799179.062500,22,11,57
1478799179.093750,22,12,57
1478799179.125000,22,13,57
1478799179.156250,22,13,57
1478799179.187500,22,13,57
1478799179.218750,23,12,58
1478799179.250000,23,11,57
1478799179.281250,22,11,58
1478799179.312500,22,12,57
1478799179.343750,22,13,57
1478799179.375000,22,13,57
1478799179.406250,22,12,57
1478799179.437500,23,12,58
1478799179.468750,22,11,57
1478799179.500000,22,11,58
1478799179.531250,22,12,57
1478799179.562500,22,13,57
1478799179.593750,22,13,57
1478799179.625000,23,12,57
1478799179.656250,23,11,57
1478799179.687500,22,11,58
1478799179.718750,22,12,57
1478799179.750000,22,13,57
1478799179.781250,21,13,57
1478799179.812500,22,13,57
1478799179.843750,23,11,57
1478799179.875000,23,11,58
1478799179.906250,22,12,57
1478799179.937500,22,12,57
1478799179.968750,22,12,57
1478799180.000000,22,12,57
1478799180.031250,23,12,57
1478799180.062500,23,12,57
1478799180.093750,21,12,57
1478799180.125000,21,12,57
1478799180.156250,22,12,58
1478799180.187500,22,13,57
1478799180.218750,22,13,57
1478799180.250000,23,13,57
1478799180.281250,22,12,57
1478799180.312500,21,12,57
1478799180.343750,22,12,57
1478799180.375000,22,11,58
1478799180.406250,22,11,57
1478799180.437500,23,11,57
1478799180.468750,23,11,58
1478799180.500000,21,12,57
1478799180.531250,22,13,57
1478799180.562500,22,13,57
1478799180.593750,22,12,57
1478799180.625000,23,11,57
1478799180.656250,23,11,58
1478799180.687500,21,12,57
1478799180.718750,21,13,57
